id,chars
https://grundbuecher.acdh.oeaw.ac.at/e00117_1467-07-20.html,854
https://grundbuecher.acdh.oeaw.ac.at/e00118_1467-07-20.html,742
https://grundbuecher.acdh.oeaw.ac.at/e00119_1468-02-11.html,1001
https://grundbuecher.acdh.oeaw.ac.at/e00120_1468-04-08.html,1187
https://grundbuecher.acdh.oeaw.ac.at/e00121_1468-12-14.html,485
https://grundbuecher.acdh.oeaw.ac.at/e00122_1468-03-04.html,757
https://grundbuecher.acdh.oeaw.ac.at/e00123_1469-12-18.html,710
https://grundbuecher.acdh.oeaw.ac.at/e00124_1470-02-16.html,601
https://grundbuecher.acdh.oeaw.ac.at/e00125_1470-09-05.html,479
https://grundbuecher.acdh.oeaw.ac.at/e00126_1471-01-26.html,914
https://grundbuecher.acdh.oeaw.ac.at/e00127_1470-12-08.html,646
https://grundbuecher.acdh.oeaw.ac.at/e00128_1471-05-17.html,722
https://grundbuecher.acdh.oeaw.ac.at/e00129_1438-02-17.html,417
https://grundbuecher.acdh.oeaw.ac.at/e00130_1438-02-17.html,516
https://grundbuecher.acdh.oeaw.ac.at/e00131_1438-06-18.html,605
https://grundbuecher.acdh.oeaw.ac.at/e00132_1438-06-20.html,1071
https://grundbuecher.acdh.oeaw.ac.at/e00133_1438-04-21.html,826
https://grundbuecher.acdh.oeaw.ac.at/e00134_1439-10-10.html,461
https://grundbuecher.acdh.oeaw.ac.at/e00135_1439.html,653
https://grundbuecher.acdh.oeaw.ac.at/e00136_1439-10-26.html,953
https://grundbuecher.acdh.oeaw.ac.at/e00137_1439-10-23.html,959
https://grundbuecher.acdh.oeaw.ac.at/e00138_1440-05-25.html,464
https://grundbuecher.acdh.oeaw.ac.at/e00139_1440-11-21.html,776
https://grundbuecher.acdh.oeaw.ac.at/e00140_1442-06-22.html,545
https://grundbuecher.acdh.oeaw.ac.at/e00141_1442-06-22.html,710
https://grundbuecher.acdh.oeaw.ac.at/e00142_1442-06-22.html,520
https://grundbuecher.acdh.oeaw.ac.at/e00143_1442-07-27.html,1115
https://grundbuecher.acdh.oeaw.ac.at/e00144_1443-03-11.html,844
https://grundbuecher.acdh.oeaw.ac.at/e00145_1443-07-05.html,823
https://grundbuecher.acdh.oeaw.ac.at/e00146_1444-05-20.html,506
https://grundbuecher.acdh.oeaw.ac.at/e00147_1444-06-10.html,688
